task_id,post_id,annotator1_task_a,annotator1_task_b,annotator2_task_a,annotator2_task_b,task_a_agreement,task_b_agreement
1232,10159246793629268,Routine / institutional / customer service / other,Education / awareness,Public education / heritage / community engagement,Education / awareness,False,True
1236,260970657331765,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
1237,5280575868632683,Public education / heritage / community engagement,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,True
1243,837663531712237,Routine / institutional / customer service / other,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
1244,3610466208976999,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
1245,721692107884760,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
1247,1115260540602632,Water quality / safety / public health,Institutional promotion / community news,Water quality / safety / public health,Alert / warning,True,False
1248,586414436856054,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
1250,486692085151791,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
1251,5059728594049499,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
1252,1027141730642806,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,False,False
1253,938086005015398,Routine / institutional / customer service / other,Education / awareness,Public education / heritage / community engagement,Education / awareness,False,True
1254,952051461538215,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
1256,2351798514896829,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
1257,1541153719294650,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
1258,10156813955059268,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
1259,4161359227221025,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
1269,243906117918994,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Instruction / advice to public,True,False
1272,1583040675052906,Routine / institutional / customer service / other,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
1274,5470902609630329,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
1276,1222789401207471,Routine / institutional / customer service / other,Education / awareness,Public education / heritage / community engagement,Education / awareness,False,True
1278,2677259775920728,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Alert / warning,False,False
1282,205746101557542,Routine / institutional / customer service / other,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
1284,982532571770389,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
1285,1518699882936377,Routine / institutional / customer service / other,Instruction / advice to public,Service disruption / repair / infrastructure,Instruction / advice to public,False,True
1286,683833033089737,Water conservation / drought / demand management,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
1292,603104276410211,Routine / institutional / customer service / other,Education / awareness,Public education / heritage / community engagement,Education / awareness,False,True
1293,1356935114330131,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
1296,548314402322892,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
1298,578611595612016,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
1300,999990383821956,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
1302,1079292645480762,Routine / institutional / customer service / other,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
1304,1338789786143417,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Instruction / advice to public,False,False
1306,10158542118116714,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Instruction / advice to public,True,False
1309,5201518799871724,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
1310,10155827716504268,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Water quality / safety / public health,Instruction / advice to public,False,False
1311,2314250591931907,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
1312,5009961429080511,Service disruption / repair / infrastructure,Instruction / advice to public,Routine / institutional / customer service / other,Instruction / advice to public,False,True
1317,270874579602862,Service disruption / repair / infrastructure,Instruction / advice to public,Service disruption / repair / infrastructure,Operational update / resolution,True,False
1320,980489684116736,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,True,False
1328,2138385473141497,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
1330,2064210553892323,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
1332,1319332706862080,Routine / institutional / customer service / other,Education / awareness,Public education / heritage / community engagement,Education / awareness,False,True
1337,1333651402132350,Public education / heritage / community engagement,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
1338,1589356781141010,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
1340,1621971527955921,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
1341,3881750585234940,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Instruction / advice to public,True,False
1344,4312079128815700,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
1346,10160402524304268,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
1351,668175335346630,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
1352,1155140801640246,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
1353,10158863584539268,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
1355,10160859989469268,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Reassurance / safety information,True,False
1363,4360983440591935,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Operational update / resolution,True,False
1365,661308067279224,Routine / institutional / customer service / other,Institutional promotion / community news,Water conservation / drought / demand management,Instruction / advice to public,False,False
1366,759859569656977,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Instruction / advice to public,True,False
1370,5270154339705158,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Reassurance / safety information,True,False
1374,2095868067103495,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
1375,143068152493698,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
1382,1718509131635493,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
1383,1138446632845648,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Instruction / advice to public,False,False
1384,654644631278901,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
1385,1180695863403449,Service disruption / repair / infrastructure,Operational update / resolution,Service disruption / repair / infrastructure,Reassurance / safety information,True,False
1388,290390734317913,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Operational update / resolution,True,False
1389,2525293867524566,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Education / awareness,False,False
1392,1305475209605556,Routine / institutional / customer service / other,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
1398,1471551299588226,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Operational update / resolution,True,False
1399,937892188130834,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
1400,966194440070869,Public education / heritage / community engagement,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
1405,2550755298281434,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
1411,1449097821780526,Public education / heritage / community engagement,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
1412,10153675246554268,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
1413,1033756083778719,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
1416,336716933018626,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Operational update / resolution,True,False
1417,1117467345059769,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
1418,10159695935094268,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
1422,637069062983410,Water quality / safety / public health,Instruction / advice to public,Water quality / safety / public health,Institutional promotion / community news,True,False
1423,642754854546279,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
1425,1826289554190783,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Alert / warning,False,False
1429,4440526709357322,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,False
1430,1865371853539500,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
1432,1035143519972061,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,True,False
1435,591711584185825,Routine / institutional / customer service / other,Institutional promotion / community news,Water conservation / drought / demand management,Instruction / advice to public,False,False
1436,2587893057954039,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,False
1437,1494372667717056,Service disruption / repair / infrastructure,Alert / warning,Routine / institutional / customer service / other,Operational update / resolution,False,False
1439,4103734122982289,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
1441,532549406799032,Routine / institutional / customer service / other,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
1443,4960033910686882,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Instruction / advice to public,True,False
1445,918068227024005,Water quality / safety / public health,Education / awareness,Water quality / safety / public health,Instruction / advice to public,True,False
1448,3889905961086069,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Instruction / advice to public,True,False
1449,2095832857236450,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Education / awareness,False,False
1450,10159029150666714,Public education / heritage / community engagement,Education / awareness,Routine / institutional / customer service / other,Institutional promotion / community news,False,False
1451,511219389365727,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
1452,4293537754003171,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
1453,2043465439300168,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Instruction / advice to public,False,False
1454,2064238007222911,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
1455,5052747151415557,Routine / institutional / customer service / other,Instruction / advice to public,Public education / heritage / community engagement,Instruction / advice to public,False,True
1459,3129527940404164,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,False
1462,693956389426125,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Instruction / advice to public,False,False
1467,341716842518635,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Operational update / resolution,True,False
1468,5952492878107642,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
1470,1253367803495588,Water quality / safety / public health,Education / awareness,Water quality / safety / public health,Reassurance / safety information,True,False
1471,2351912011497851,Public education / heritage / community engagement,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
1473,270350626321924,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Operational update / resolution,True,False
1476,1608892222520799,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
1478,1602221016597639,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Institutional promotion / community news,True,False
1482,740403672649948,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
1484,3962872137069736,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
1485,2309900489033584,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
1486,1530687463674609,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
1488,10155271477721714,Routine / institutional / customer service / other,Instruction / advice to public,Water quality / safety / public health,Instruction / advice to public,False,True
1490,897609775881955,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
1492,760230770697560,Routine / institutional / customer service / other,Education / awareness,Service disruption / repair / infrastructure,Instruction / advice to public,False,False
1495,976537310932988,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Institutional promotion / community news,True,False
1496,1122174317806213,Routine / institutional / customer service / other,Other / unclear,Public education / heritage / community engagement,Institutional promotion / community news,False,False
1500,1073931439426602,Routine / institutional / customer service / other,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
